Date,Time,PV gen (kW),Load (kW),Temp (C)
01.01.2020 00:00:00,00:00:00,0.0,0.468530464,23.724
01.01.2020 01:00:00,01:00:00,0.0,0.421974102,23.117
01.01.2020 02:00:00,02:00:00,0.0,0.431843871,22.713
01.01.2020 03:00:00,03:00:00,0.0,0.408764035,22.197
01.01.2020 04:00:00,04:00:00,0.0,0.388010428,21.737
01.01.2020 05:00:00,05:00:00,0.0,0.409568585,21.364
01.01.2020 06:00:00,06:00:00,0.168,0.428185119,22.403
01.01.2020 07:00:00,07:00:00,0.553,0.387317161,24.156
01.01.2020 08:00:00,08:00:00,1.044,0.347192089,26.256
01.01.2020 09:00:00,09:00:00,1.517,0.319467343,28.193
01.01.2020 10:00:00,10:00:00,1.747,0.284743224,28.849
01.01.2020 11:00:00,11:00:00,1.955,0.250822195,30.592
01.01.2020 12:00:00,12:00:00,1.888,0.333340815,31.525
01.01.2020 13:00:00,13:00:00,1.842,0.433241729,32.1
01.01.2020 14:00:00,14:00:00,1.927,0.552029498,32.906
01.01.2020 15:00:00,15:00:00,1.822,0.714870343,33.414
01.01.2020 16:00:00,16:00:00,1.424,0.921596028,33.241
01.01.2020 17:00:00,17:00:00,0.869,1.13581862,32.565
01.01.2020 18:00:00,18:00:00,0.339,1.266012471,31.617
01.01.2020 19:00:00,19:00:00,0.059,1.250746634,29.637
01.01.2020 20:00:00,20:00:00,0.0,1.138175761,28.21
01.01.2020 21:00:00,21:00:00,0.0,0.973577541,26.475
01.01.2020 22:00:00,22:00:00,0.0,0.759513186,24.907
01.01.2020 23:00:00,23:00:00,0.0,0.607853042,24.361
02.01.2020 00:00:00,00:00:00,0.0,0.62371243,24.272
02.01.2020 01:00:00,01:00:00,0.0,0.50640114,24.069
02.01.2020 02:00:00,02:00:00,0.0,0.547897295,23.807
02.01.2020 03:00:00,03:00:00,0.0,0.524812808,23.517
02.01.2020 04:00:00,04:00:00,0.0,0.530773366,23.357
02.01.2020 05:00:00,05:00:00,0.0,0.537902941,23.366
02.01.2020 06:00:00,06:00:00,0.147,0.601450782,25.099
02.01.2020 07:00:00,07:00:00,0.567,0.650462338,28.017
02.01.2020 08:00:00,08:00:00,1.139,0.741114472,31.831
02.01.2020 09:00:00,09:00:00,1.651,0.819179639,35.198
02.01.2020 10:00:00,10:00:00,2.029,0.91103979,36.754
02.01.2020 11:00:00,11:00:00,2.208,1.032085091,37.741
02.01.2020 12:00:00,12:00:00,2.191,1.173078521,38.303
02.01.2020 13:00:00,13:00:00,2.004,1.262160594,38.483
02.01.2020 14:00:00,14:00:00,1.797,1.41752405,38.534
02.01.2020 15:00:00,15:00:00,1.493,1.570262736,38.367
02.01.2020 16:00:00,16:00:00,1.321,1.749867143,38.502
02.01.2020 17:00:00,17:00:00,0.804,1.927410372,37.918
02.01.2020 18:00:00,18:00:00,0.332,2.012718373,36.378
02.01.2020 19:00:00,19:00:00,0.054,1.890484904,33.534
02.01.2020 20:00:00,20:00:00,0.0,1.711618123,33.06
02.01.2020 21:00:00,21:00:00,0.0,1.474458848,32.032
02.01.2020 22:00:00,22:00:00,0.0,1.189625698,28.811
02.01.2020 23:00:00,23:00:00,0.0,0.943307157,25.993
03.01.2020 00:00:00,00:00:00,0.0,0.894392933,24.541
03.01.2020 01:00:00,01:00:00,0.0,0.757979572,23.969
03.01.2020 02:00:00,02:00:00,0.0,0.749776153,24.014
03.01.2020 03:00:00,03:00:00,0.0,0.669680411,24.363
03.01.2020 04:00:00,04:00:00,0.0,0.682670934,24.69
03.01.2020 05:00:00,05:00:00,0.0,0.66048531,25.199
03.01.2020 06:00:00,06:00:00,0.164,0.698400845,27.107
03.01.2020 07:00:00,07:00:00,0.549,0.768452081,29.732
03.01.2020 08:00:00,08:00:00,1.069,0.854513324,32.678
03.01.2020 09:00:00,09:00:00,1.493,0.951212742,34.89
03.01.2020 10:00:00,10:00:00,1.844,1.07131787,36.205
03.01.2020 11:00:00,11:00:00,2.038,1.180177793,37.125
03.01.2020 12:00:00,12:00:00,1.934,1.250063477,36.979
03.01.2020 13:00:00,13:00:00,1.683,1.286634402,35.552
03.01.2020 14:00:00,14:00:00,1.524,1.339798582,33.213
03.01.2020 15:00:00,15:00:00,1.249,1.248448973,30.39
03.01.2020 16:00:00,16:00:00,0.941,1.121506749,27.935
03.01.2020 17:00:00,17:00:00,0.592,1.102901766,26.229
03.01.2020 18:00:00,18:00:00,0.207,1.10535569,25.147
03.01.2020 19:00:00,19:00:00,0.013,1.056098476,24.371
03.01.2020 20:00:00,20:00:00,0.0,1.001758534,23.666
