Date,PV gen (kW),Load (kW)
01.01.2020 00:00:00,0,0.73
01.01.2020 01:00:00,0,0.69
01.01.2020 02:00:00,0,0.59
01.01.2020 03:00:00,0,0.5
01.01.2020 04:00:00,0,0.4
01.01.2020 05:00:00,0,0.36
01.01.2020 06:00:00,0,0.33
01.01.2020 07:00:00,0.31,0.33
01.01.2020 08:00:00,0.63,0.33
01.01.2020 09:00:00,0.37,0.34
01.01.2020 10:00:00,0.22,0.4
01.01.2020 11:00:00,0.12,0.47
01.01.2020 12:00:00,0.17,0.44
01.01.2020 13:00:00,0.08,0.38
01.01.2020 14:00:00,0,0.38
01.01.2020 15:00:00,0,0.37
01.01.2020 16:00:00,0,0.36
01.01.2020 17:00:00,0,0.35
01.01.2020 18:00:00,0,0.36
01.01.2020 19:00:00,0,0.36
01.01.2020 20:00:00,0,0.42
01.01.2020 21:00:00,0,0.54
01.01.2020 22:00:00,0,0.64
01.01.2020 23:00:00,0,0.69
02.01.2020 00:00:00,0,0.65
02.01.2020 01:00:00,0,0.6
02.01.2020 02:00:00,0,0.52
02.01.2020 03:00:00,0,0.45
02.01.2020 04:00:00,0,0.39
02.01.2020 05:00:00,0,0.37
02.01.2020 06:00:00,0,0.35
02.01.2020 07:00:00,0.07,0.36
02.01.2020 08:00:00,0.81,0.37
02.01.2020 09:00:00,0.77,0.39
02.01.2020 10:00:00,0.46,0.46
02.01.2020 11:00:00,2.09,0.53
02.01.2020 12:00:00,1.65,0.51
02.01.2020 13:00:00,0.54,0.43
02.01.2020 14:00:00,0.02,0.41
02.01.2020 15:00:00,0,0.38
02.01.2020 16:00:00,0,0.36
02.01.2020 17:00:00,0,0.36
02.01.2020 18:00:00,0,0.35
02.01.2020 19:00:00,0,0.36
02.01.2020 20:00:00,0,0.4
02.01.2020 21:00:00,0,0.5
02.01.2020 22:00:00,0,0.63
02.01.2020 23:00:00,0,0.69
03.01.2020 00:00:00,0,0.68
03.01.2020 01:00:00,0,0.63
03.01.2020 02:00:00,0,0.54
03.01.2020 03:00:00,0,0.45
03.01.2020 04:00:00,0,0.36
03.01.2020 05:00:00,0,0.34
03.01.2020 06:00:00,0,0.32
03.01.2020 07:00:00,0.13,0.31
03.01.2020 08:00:00,0.47,0.31
03.01.2020 09:00:00,1.61,0.32
03.01.2020 10:00:00,2.49,0.38
03.01.2020 11:00:00,2.4,0.46
03.01.2020 12:00:00,1.67,0.44
03.01.2020 13:00:00,0.8,0.38
03.01.2020 14:00:00,0.23,0.37
03.01.2020 15:00:00,0,0.35
03.01.2020 16:00:00,0,0.33
03.01.2020 17:00:00,0,0.32
03.01.2020 18:00:00,0,0.32
03.01.2020 19:00:00,0,0.33
03.01.2020 20:00:00,0,0.39
03.01.2020 21:00:00,0,0.53
03.01.2020 22:00:00,0,0.64
03.01.2020 23:00:00,0,0.71
04.01.2020 00:00:00,0,0.69
04.01.2020 01:00:00,0,0.65
04.01.2020 02:00:00,0,0.57
04.01.2020 03:00:00,0,0.49
04.01.2020 04:00:00,0,0.4
04.01.2020 05:00:00,0,0.37
04.01.2020 06:00:00,0,0.35
04.01.2020 07:00:00,0.01,0.35
04.01.2020 08:00:00,0.16,0.35
04.01.2020 09:00:00,0.4,0.36
04.01.2020 10:00:00,1.89,0.41
04.01.2020 11:00:00,1.47,0.5
04.01.2020 12:00:00,0.91,0.47
04.01.2020 13:00:00,0.31,0.4
04.01.2020 14:00:00,0.02,0.39
04.01.2020 15:00:00,0,0.36
04.01.2020 16:00:00,0,0.34
04.01.2020 17:00:00,0,0.32
04.01.2020 18:00:00,0,0.3
04.01.2020 19:00:00,0,0.31
04.01.2020 20:00:00,0,0.37
04.01.2020 21:00:00,0,0.5
04.01.2020 22:00:00,0,0.61
04.01.2020 23:00:00,0,0.67
05.01.2020 00:00:00,0,0.66
05.01.2020 01:00:00,0,0.62
05.01.2020 02:00:00,0,0.53
05.01.2020 03:00:00,0,0.45
05.01.2020 04:00:00,0,0.36
05.01.2020 05:00:00,0,0.34
05.01.2020 06:00:00,0,0.33
05.01.2020 07:00:00,0.17,0.32
05.01.2020 08:00:00,0.69,0.32
05.01.2020 09:00:00,0.47,0.34
05.01.2020 10:00:00,0.38,0.39
05.01.2020 11:00:00,0.31,0.46
05.01.2020 12:00:00,0.26,0.43
05.01.2020 13:00:00,0.09,0.35
05.01.2020 14:00:00,0,0.33
05.01.2020 15:00:00,0,0.3
05.01.2020 16:00:00,0,0.28
05.01.2020 17:00:00,0,0.27
05.01.2020 18:00:00,0,0.26
05.01.2020 19:00:00,0,0.27
05.01.2020 20:00:00,0,0.34
05.01.2020 21:00:00,0,0.47
05.01.2020 22:00:00,0,0.57
05.01.2020 23:00:00,0,0.64
06.01.2020 00:00:00,0,0.62
06.01.2020 01:00:00,0,0.58
06.01.2020 02:00:00,0,0.5
06.01.2020 03:00:00,0,0.42
06.01.2020 04:00:00,0,0.34
06.01.2020 05:00:00,0,0.31
06.01.2020 06:00:00,0,0.3
06.01.2020 07:00:00,0.19,0.31
06.01.2020 08:00:00,1.05,0.31
06.01.2020 09:00:00,1.65,0.33
06.01.2020 10:00:00,1.87,0.39
06.01.2020 11:00:00,1.83,0.47
06.01.2020 12:00:00,1.61,0.04
06.01.2020 13:00:00,1.18,0.39
06.01.2020 14:00:00,0.34,0.39
06.01.2020 15:00:00,0,0.37
06.01.2020 16:00:00,0,0.36
06.01.2020 17:00:00,0,0.35
06.01.2020 18:00:00,0,0.34
06.01.2020 19:00:00,0,0.36
06.01.2020 20:00:00,0,0.42
06.01.2020 21:00:00,0,0.55
06.01.2020 22:00:00,0,0.65
06.01.2020 23:00:00,0,0.7
07.01.2020 00:00:00,0,0.68
07.01.2020 01:00:00,0,0.63
07.01.2020 02:00:00,0,0.54
07.01.2020 03:00:00,0,0.46
07.01.2020 04:00:00,0,0.38
07.01.2020 05:00:00,0,0.34
07.01.2020 06:00:00,0,0.34
07.01.2020 07:00:00,0.04,0.34
07.01.2020 08:00:00,0.24,0.34
07.01.2020 09:00:00,0.36,0.35
07.01.2020 10:00:00,0.47,0.42
07.01.2020 11:00:00,0.53,0.49
07.01.2020 12:00:00,0.42,0.47
07.01.2020 13:00:00,0.36,0.43
07.01.2020 14:00:00,0.1,0.43
07.01.2020 15:00:00,0,0.41
07.01.2020 16:00:00,0,0.39
07.01.2020 17:00:00,0,0.38
07.01.2020 18:00:00,0,0.37
07.01.2020 19:00:00,0,0.39
07.01.2020 20:00:00,0,0.45
07.01.2020 21:00:00,0,0.6
07.01.2020 22:00:00,0,0.68
07.01.2020 23:00:00,0,0.73
08.01.2020 00:00:00,0,0.71
08.01.2020 01:00:00,0,0.67
08.01.2020 02:00:00,0,0.57
08.01.2020 03:00:00,0,0.49
08.01.2020 04:00:00,0,0.4
08.01.2020 05:00:00,0,0.36
08.01.2020 06:00:00,0,0.35
08.01.2020 07:00:00,0,0.04
08.01.2020 08:00:00,0.2,0.36
08.01.2020 09:00:00,1.03,0.37
08.01.2020 10:00:00,0.91,0.42
08.01.2020 11:00:00,0.55,0.51
08.01.2020 12:00:00,0.9,0.5
08.01.2020 13:00:00,1.07,0.44
08.01.2020 14:00:00,0.21,0.44
08.01.2020 15:00:00,0,0.42
08.01.2020 16:00:00,0,0.41
08.01.2020 17:00:00,0,0.4
08.01.2020 18:00:00,0,0.38
08.01.2020 19:00:00,0,0.39
08.01.2020 20:00:00,0,0.45
08.01.2020 21:00:00,0,0.57
08.01.2020 22:00:00,0,0.68
08.01.2020 23:00:00,0,0.73
09.01.2020 00:00:00,0,0.72
09.01.2020 01:00:00,0,0.67
09.01.2020 02:00:00,0,0.6
09.01.2020 03:00:00,0,0.52
09.01.2020 04:00:00,0,0.42
09.01.2020 05:00:00,0,0.43
09.01.2020 06:00:00,0,0.39
09.01.2020 07:00:00,0.03,0.39
09.01.2020 08:00:00,0.61,0.39
