RCE,Date
204.32,04.09.2020 00:00:00
206.42,04.09.2020 01:00:00
203.75,04.09.2020 02:00:00
202.23,04.09.2020 03:00:00
204.26,04.09.2020 04:00:00
206.26,04.09.2020 05:00:00
246.1,04.09.2020 06:00:00
234.86,04.09.2020 07:00:00
246.4,04.09.2020 08:00:00
237.19,04.09.2020 09:00:00
235.7,04.09.2020 10:00:00
244.32,04.09.2020 11:00:00
248.19,04.09.2020 12:00:00
246.27,04.09.2020 13:00:00
235.96,04.09.2020 14:00:00
244.6,04.09.2020 15:00:00
245.14,04.09.2020 16:00:00
261.68,04.09.2020 17:00:00
271.24,04.09.2020 18:00:00
285.68,04.09.2020 19:00:00
301.03,04.09.2020 20:00:00
258.07,04.09.2020 21:00:00
254.71,04.09.2020 22:00:00
204.06,04.09.2020 23:00:00
